,Linear Regression,Random Forest,Gradient Boosting,SVR
year_normalized,0.1463621610036389,0.03896525557540437,0.042112046837058464,0.20703407862063639
latitude,6.046847654230619,0.019302287612705905,0.002569051983040945,0.04991176300670652
longitude,0.08267074362588635,0.1104405580046793,0.06761834663939043,0.02372760394252338
temperature,22.212380811928277,0.003933256199611833,0.00012840997220854824,0.024502274328632723
precipitation,9.959506703205838,0.01486400734576359,0.005131252559944259,0.11899175121626904
temperature_anomaly,1.9879159548616525,0.007809765838043586,0.000681224070475502,0.18779226096979773
precipitation_anomaly,0.14109987592846404,0.0046223518431690504,0.00010391663833123426,0.0013024645935304502
climate_stress_index,0.80744832692302,0.0052934055395319375,0.0012939275020794247,0.05297144744785909
temp_precip_ratio,1.6778571955351111,0.012741377429456444,0.009414557263655244,0.04143732050031668
climate_extremity,0.8105576376783341,0.004625960713261949,0.0004603606135955526,0.030597584296427005
temp_lat_interaction,4.045098145521923,0.04418185989328133,0.031877234094144315,0.33980266930044145
precip_lat_interaction,2.8679117616355505,0.00798234020749373,0.0012083643052002474,0.5182926028391055
region_encoded,1.104895894687535,0.001633021930632412,8.449739967571782e-05,0.07900186319358005
temperature_lag1,24.811525862940883,0.009367807395484535,0.0024773215568039287,0.029536703570762768
temperature_change,5.454648733386253,0.011444008355672518,0.006139226341427193,0.016306451664797272
precipitation_lag1,7.576920075662478,0.037830818183525815,0.017652167690354777,0.21790157752299777
precipitation_change,2.339138132629724,0.00459179580297482,0.0007488515081492604,0.03190307397437042
bee_abundance_lag1,11.836191871750014,0.5708426421101925,0.660623539034064,11.492678353726395
bee_abundance_change,6.34589920224737,0.08026742079699074,0.14816502061278858,6.4847975403973335
temperature_zscore,0.9586600083242681,0.005070360198108699,0.0002251656392099291,0.16816034850142092
precipitation_zscore,0.15649161861004796,0.004189699024014957,0.0012855177384024266,0.001911310186648807
